make,model,car,variant,body_type,fuel_type,fuel_system,type,drivetrain,displacement,cylinders,mileage,power,torque,fuel_tank,height,length,width,doors,seats,wheelbase,airbags,keyless_entry,start/stop,12Vpower,Aux,enginemalf_alarm,immobiliser,highspeed_alert,odometer,speedometer,tripmeter,price,cluster
Volkswagen,Passat,Volkswagen Passat,2.0 Tdi Comfortline,Sedan,Diesel,Injection,Automatic,FWD (Front Wheel Drive),1968,4,17.42,177.54,350,55.0,1456.0,4767.0,1832.0,4,5,2786.0,9,1,0,1,1,1,1,0.0,Digital,Analog,1,42301,7
Volkswagen,Passat,Volkswagen Passat,2.0 Tdi Highline,Sedan,Diesel,Injection,Automatic,FWD (Front Wheel Drive),1968,4,17.42,177.54,350,66.0,1456.0,4767.0,1832.0,4,5,2786.0,9,1,0,1,1,1,1,0.0,Digital,Analog,1,46501,7
Volkswagen,Passat,Volkswagen Passat,2.0 Tdi Comfortline Connect,Sedan,Diesel,Injection,Automatic,FWD (Front Wheel Drive),1968,4,17.42,177.54,350,55.0,1456.0,4767.0,1832.0,4,5,2786.0,9,1,0,1,1,1,1,0.0,Digital,Analog,1,36386,7
Volkswagen,Passat,Volkswagen Passat,2.0 Tdi Highline Connect,Sedan,Diesel,Injection,Automatic,FWD (Front Wheel Drive),1968,4,17.42,177.54,350,66.0,1456.0,4767.0,1832.0,4,5,2786.0,9,1,0,1,1,1,1,0.0,Digital,Analog,1,40586,7
Volvo,V40 Cross Country,Volvo V40 Cross Country,D3,Hatchback,Diesel,Injection,Automatic,FWD (Front Wheel Drive),1984,5,16.8,147.95,350,60.0,1458.0,4370.0,1783.0,5,5,2646.0,7,1,1,1,1,1,1,0.0,Digital,Digital,1,45962,7
Volvo,V40 Cross Country,Volvo V40 Cross Country,T4,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),1596,4,16.0,177.54,240,50.0,1470.0,4370.0,1857.0,5,5,2646.0,7,1,1,1,1,1,1,0.0,Digital,Digital,1,41468,7
Mini,Countryman,Mini Countryman,Cooper S,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),1998,4,14.41,189.37,280,47.0,1557.0,4299.0,1822.0,5,5,2670.0,6,0,0,1,1,1,1,1.0,Yes,Yes,1,48860,7
Mini,Countryman,Mini Countryman,Cooper Sd,Hatchback,Diesel,Injection,Automatic,FWD (Front Wheel Drive),1998,4,19.19,187.4,400,47.0,1557.0,4299.0,1822.0,5,5,2670.0,6,1,1,1,1,1,1,1.0,Yes,Analog,1,52360,7
Mini,Countryman,Mini Countryman,Cooper S Jcw Inspired,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),1998,4,14.41,189.37,280,47.0,1557.0,4299.0,1822.0,5,5,2670.0,6,1,1,1,1,1,1,1.0,Yes,Yes,1,57960,7
Mini,Countryman,Mini Countryman,Black Edition,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),1998,4,14.41,189.37,280,47.0,1557.0,4299.0,1822.0,5,5,2670.0,6,1,1,1,1,1,1,1.0,Yes,Yes,1,59360,7
Toyota,Prius,Toyota Prius,Z8,Sedan,Hybrid,Injection,Automatic,FWD (Front Wheel Drive),1798,4,23.9,96.66,142,43.0,1490.0,4540.0,1760.0,4,5,2700.0,7,1,1,1,1,1,1,0.0,Digital,Analog,1,63126,7
Lexus,Nx 300H,Lexus Nx 300H,F-Sport,SUV,Petrol,Injection,Automatic,AWD (All Wheel Drive),2494,6,18.3,191.35,210,56.0,1645.0,4.64,1.845,4,5,2660.0,8,1,0,1,1,1,1,0.0,Digital,Analog,1,84840,5
Lexus,Nx 300H,Lexus Nx 300H,Luxury,SUV,Petrol,Injection,Automatic,AWD (All Wheel Drive),2494,6,18.3,191.35,210,56.0,1645.0,4640.0,1845.0,4,5,2660.0,8,1,0,1,1,1,1,0.0,Digital,Analog,1,83860,5
Jaguar,F-Pace,Jaguar F-Pace,Prestige,SUV,Diesel,Injection,Automatic,AWD (All Wheel Drive),1999,4,16.38,177.54,430,60.0,1651.0,4731.0,2175.0,5,5,2874.0,6,1,1,1,1,1,1,0.0,Analog,Digital,1,90492,5
Jaguar,F-Pace,Jaguar F-Pace,Prestige Petrol,SUV,Petrol,Injection,Automatic,AWD (All Wheel Drive),1997,4,21.27,243.62,369,60.0,1651.0,4731.0,2175.0,5,5,2874.0,6,1,1,1,1,1,1,0.0,Analog,Digital,1,89919,5
Volvo,V90 Cross Country,Volvo V90 Cross Country,D5 Inscription,SUV,Diesel,Injection,Automatic,AWD (All Wheel Drive),1969,4,17.2,231.79,480,60.0,1543.0,4950.0,2052.0,5,5,2941.0,6,1,1,1,1,1,1,0.0,Digital,Analog,1,91434,5
Bmw,X7,Bmw X7,Xdrive 40I,SUV,Petrol,Injection,Automatic,AWD (All Wheel Drive),2998,6,13.38,330.42,450,80.0,1805.0,5151.0,2000.0,5,7,3105.0,9,1,1,1,1,1,1,1.0,Digital,Digital,1,146860,8
Bmw,X7,Bmw X7,Xdrive30D Dpe Signature,SUV,Diesel,Injection,Automatic,AWD (All Wheel Drive),2993,6,13.38,258.42,620,80.0,1805.0,5151.0,2000.0,5,7,3105.0,9,1,1,1,1,1,1,1.0,Digital,Digital,1,143500,8
Bmw,M4,Bmw M4,Coupe,Coupe,Petrol,Injection,Automatic,RWD (Rear Wheel Drive),2979,6,10.75,425.1,550,60.0,1383.0,4671.0,1870.0,2,4,2812.0,10,1,1,1,1,1,1,0.0,Digital,Analog,1,190260,8
Porsche,911,Porsche 911,Carrera S,Coupe,Petrol,Injection,Automatic,AWD (All Wheel Drive),2981,6,8.9,443.84,530,64.0,1300.0,4519.0,1852.0,2,4,2450.0,4,1,1,1,1,1,1,0.0,Digital,Analog,1,243880,4
Porsche,911,Porsche 911,Carrera S Cabriolet,Convertible,Petrol,Injection,Automatic,AWD (All Wheel Drive),2981,6,9.1,443.84,530,64.0,1299.0,4519.0,1852.0,2,4,2450.0,4,1,1,1,1,1,1,0.0,Digital,Analog,1,263816,4
Nissan,Gtr,Nissan Gtr,3.8 V6,Coupe,Petrol,Injection,Automatic,AWD (All Wheel Drive),3799,6,9.0,562.2,637,74.0,1370.0,4710.0,1895.0,2,4,2780.0,6,1,1,1,1,1,1,0.0,Analog,Analog,1,297363,4
Aston Martin,Vantage,Aston Martin Vantage,Coupe,Coupe,Petrol,Injection,Automatic,RWD (Rear Wheel Drive),3982,8,8.0,498.09,685,73.0,1273.0,4465.0,2153.0,2,2,2704.0,6,0,1,0,0,0,1,0.0,Analog,Analog,0,413000,3
Aston Martin,Rapide,Aston Martin Rapide,Luxe,Sedan,Petrol,Injection,Automatic,RWD (Rear Wheel Drive),5935,12,12.9,552.34,630,90.5,1360.0,5019.0,1929.0,4,4,2989.0,8,1,1,1,1,1,1,0.0,Digital,Analog,1,543841,6
Ferrari,812 Superfast,Ferrari 812 Superfast,Superfast,Coupe,Petrol,Injection,Automatic,AWD (All Wheel Drive),6496,12,14.9,778.21,718,92.0,1276.0,4657.0,1971.0,2,2,2720.0,4,1,1,1,1,1,1,0.0,Digital,Digital,1,728000,1
Maruti Suzuki,Alto 800 Tour,Maruti Suzuki Alto 800 Tour,H1,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),796,3,23.7,47.34,69,35.0,1475.0,3430.0,1490.0,5,5,2360.0,0,0,0,0,0,1,1,0.0,Digital,Analog,1,4959,2
Maruti Suzuki,Alto 800 Tour,Maruti Suzuki Alto 800 Tour,H1 (O),Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),796,3,24.7,47.34,69,35.0,1475.0,3395.0,1490.0,5,5,2360.0,1,0,0,0,0,1,1,0.0,Digital,Analog,1,4991,2
Hyundai,Grand I10 Nios,Hyundai Grand I10 Nios,Magna 1.2 Crdi,Hatchback,Diesel,Injection,Manual,FWD (Front Wheel Drive),1186,3,20.7,73.97,190,37.0,1520.0,3805.0,1680.0,5,5,2450.0,2,0,0,1,1,1,1,0.0,Digital,"Analog, Digital",1,9451,2
Hyundai,Grand I10 Nios,Hyundai Grand I10 Nios,Era 1.2 Vtvt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1197,4,20.7,81.86,114,37.0,1520.0,3805.0,1680.0,5,5,2450.0,2,0,0,0,0,1,1,0.0,Digital,Analog,1,7069,2
Hyundai,Grand I10 Nios,Hyundai Grand I10 Nios,Magna 1.2 Vtvt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1197,4,20.7,81.86,114,37.0,1520.0,3805.0,1680.0,5,5,2450.0,2,0,0,1,1,1,1,1.0,Digital,Analog,1,8254,2
Hyundai,Grand I10 Nios,Hyundai Grand I10 Nios,Magna Amt 1.2 Vtvt,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),1197,4,20.7,81.86,114,37.0,1520.0,3805.0,1680.0,5,5,2450.0,2,0,0,1,1,1,1,0.0,Digital,Analog,1,8996,2
Hyundai,Grand I10 Nios,Hyundai Grand I10 Nios,Sportz 1.2 Vtvt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1197,4,20.7,81.86,114,37.0,1520.0,3805.0,1680.0,5,5,2450.0,2,0,0,1,1,1,1,1.0,Digital,Analog,1,9006,2
Hyundai,Grand I10 Nios,Hyundai Grand I10 Nios,Sportz Amt 1.2 Vtvt,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),1197,4,20.7,81.86,114,37.0,1520.0,3805.0,1680.0,5,5,2450.0,2,0,0,1,1,1,1,0.0,Digital,Analog,1,9846,2
Hyundai,Grand I10 Nios,Hyundai Grand I10 Nios,Sportz Dual Tone 1.2 Vtvt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1197,4,20.7,81.86,114,37.0,1520.0,3805.0,1680.0,5,5,2450.0,2,0,0,1,1,1,0,1.0,Digital,Analog,1,9426,2
Hyundai,Grand I10 Nios,Hyundai Grand I10 Nios,Asta 1.2 Vtvt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1197,4,20.7,81.86,114,37.0,1520.0,3805.0,1680.0,5,5,2450.0,2,1,1,1,1,1,1,1.0,Digital,Analog,1,10065,2
Hyundai,Grand I10 Nios,Hyundai Grand I10 Nios,Sportz Amt 1.2 Crdi,Hatchback,Diesel,Injection,Automatic,FWD (Front Wheel Drive),1186,3,20.7,73.97,190,37.0,1520.0,3805.0,1680.0,5,5,2450.0,2,0,0,1,1,1,1,1.0,Digital,"Analog, Digital",1,11064,2
Hyundai,Grand I10 Nios,Hyundai Grand I10 Nios,Asta 1.2 Crdi,Hatchback,Diesel,Injection,Manual,FWD (Front Wheel Drive),1186,3,20.7,73.97,190,37.0,1520.0,3805.0,1680.0,5,5,2450.0,2,1,1,1,1,1,1,1.0,Digital,"Analog, Digital",1,11262,2
Hyundai,Xcent,Hyundai Xcent,S 1.2,Sedan,Petrol,Injection,Manual,FWD (Front Wheel Drive),1197,4,20.14,81.86,114,43.0,1520.0,3995.0,1660.0,4,5,2425.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,9012,2
Hyundai,Xcent,Hyundai Xcent,S At 1.2,Sedan,Petrol,Injection,Automatic,FWD (Front Wheel Drive),1197,4,17.36,80.88,114,43.0,1520.0,3995.0,1660.0,4,5,2425.0,2,1,0,0,1,0,1,0.0,Analog,Analog,0,10272,2
